iter	Logloss
0	0.6058918992
1	0.5414334606
2	0.4899760048
3	0.4529022833
4	0.4239536437
5	0.4002749696
6	0.3816607534
7	0.3661330198
8	0.3534337696
9	0.3433463689
10	0.3344731668
11	0.3272907506
12	0.321437862
13	0.3157867836
14	0.3110372563
15	0.3069477283
16	0.302855785
17	0.2994135031
18	0.2961555642
19	0.2933171725
20	0.2907552086
21	0.288269478
22	0.2860259389
23	0.2841242385
24	0.2821687656
25	0.2802953414
26	0.2786192059
27	0.2770158196
28	0.2755028496
29	0.2738609235
30	0.2725837916
31	0.2713146543
32	0.270068714
33	0.2687201011
34	0.2674244324
35	0.2663193714
36	0.2652800577
37	0.2643705289
38	0.2631796389
39	0.2622310546
40	0.2613567628
41	0.2604245567
42	0.259620129
43	0.2587558388
44	0.257915669
45	0.2569662122
46	0.2561962405
47	0.2554601844
48	0.2547213955
49	0.2541128089
50	0.2533724744
51	0.2527422633
52	0.2520847872
53	0.2513806053
54	0.2507940488
55	0.2502235209
56	0.24968015
57	0.2490927686
58	0.2485910817
59	0.2480194937
60	0.2475198734
61	0.2468592345
62	0.2463148018
63	0.2458517742
64	0.2454194194
65	0.2449141989
66	0.244246768
67	0.2438011243
68	0.2432218038
69	0.2427774735
70	0.2422212121
71	0.2417815776
72	0.2413718272
73	0.2409421007
74	0.2405393927
75	0.2401491222
76	0.2397426578
77	0.2393236479
78	0.2390300718
79	0.238670472
80	0.2382145429
81	0.2379191862
82	0.2375836667
83	0.2372278847
84	0.2368933708
85	0.2366044091
86	0.2363150679
87	0.2360151937
88	0.2356577839
89	0.2353510476
90	0.235000348
91	0.2346761122
92	0.2343955489
93	0.233994598
94	0.2337172706
95	0.2333954239
96	0.2331197304
97	0.2328185181
98	0.2325472586
99	0.2321565525
100	0.2318760129
101	0.2315387271
102	0.2312607741
103	0.2309861027
104	0.2307079859
105	0.2304563645
106	0.2302122921
107	0.2299678264
108	0.2296377382
109	0.2293573186
110	0.229060467
111	0.2288058621
112	0.2285385581
113	0.2282273758
114	0.2279638647
115	0.2276645968
116	0.2273660738
117	0.227089863
118	0.2268577081
119	0.2265830126
120	0.2262838619
121	0.2260271576
122	0.2255950943
123	0.2253556348
124	0.2251126013
125	0.2248999517
126	0.2246076171
127	0.2244118331
128	0.2241396369
129	0.2238928297
130	0.2236949471
131	0.2234307987
132	0.2230966256
133	0.222881423
134	0.2226745479
135	0.2224608962
136	0.2222164413
137	0.2219985191
138	0.2217584752
139	0.2215522388
140	0.2213444163
141	0.2211392367
142	0.2208920997
143	0.2206429164
144	0.2204356709
145	0.2201438812
146	0.2199305126
147	0.219731937
148	0.2195039621
149	0.2192707653
150	0.2190862902
151	0.2188799776
152	0.2186889384
153	0.2185052458
154	0.2183084204
155	0.2180853918
156	0.2178952499
157	0.2176592516
158	0.2174710347
159	0.2172412548
160	0.217068719
161	0.2168665054
162	0.2166625461
163	0.2164475035
164	0.216248139
165	0.2160578548
166	0.2158525751
167	0.21567592
168	0.2155159981
169	0.2153541839
170	0.2152035416
171	0.2150376459
172	0.2148154496
173	0.2146586855
174	0.2144680154
175	0.214319234
176	0.2141092485
177	0.2139677186
178	0.2138160326
179	0.2136206028
180	0.2134450108
181	0.2132689888
182	0.2131168383
183	0.2129530885
184	0.2127787494
185	0.2125884912
186	0.2124287847
187	0.2122776719
188	0.2120930949
189	0.2118877183
190	0.2117321249
191	0.2115847788
192	0.2114133658
193	0.2112569574
194	0.2110866533
195	0.210943195
196	0.2107878701
197	0.2106731668
198	0.2105338653
199	0.2103722648
200	0.2102356228
201	0.2100802215
202	0.2099097211
203	0.2097644171
204	0.2095890119
205	0.2094271107
206	0.209308
207	0.2091588067
208	0.2090336305
209	0.2088996017
210	0.2087529943
211	0.2086041309
212	0.2084733766
213	0.2083232453
214	0.2081759095
215	0.2080235982
216	0.2078593318
217	0.2077188483
218	0.2075605382
219	0.2074279703
220	0.2073016482
221	0.2071463704
222	0.2070170422
223	0.2068967926
224	0.2067656193
225	0.2066200585
226	0.2064746777
227	0.2063358922
228	0.2061965502
229	0.2060534709
230	0.2059183329
231	0.2057474799
232	0.2056213297
233	0.2054853744
234	0.2053082946
235	0.2051683983
236	0.2050290233
237	0.2048895187
238	0.2047536161
239	0.204629439
240	0.2045007928
241	0.2043503721
242	0.2041992935
243	0.2040669274
244	0.2039455006
245	0.2038310221
246	0.2036710235
247	0.2035669868
248	0.2034408211
249	0.2033325277
250	0.2032210559
251	0.2030996145
252	0.2029880722
253	0.2028507768
254	0.2027339867
255	0.2026187526
256	0.2024894267
257	0.2023637617
258	0.2022496399
259	0.2021283723
260	0.2020076534
261	0.2018921667
262	0.2017334822
263	0.2016307642
264	0.2015222443
265	0.2014231351
266	0.201292636
267	0.2011787684
268	0.2010520844
269	0.2009070101
270	0.2007969443
271	0.2006820771
272	0.2005702254
273	0.2004448231
274	0.2003034522
275	0.2001958583
276	0.2000759194
277	0.1999511951
278	0.1998235093
279	0.1997101666
280	0.1995918136
281	0.1994859897
282	0.1993941797
283	0.199285203
284	0.1991566298
285	0.1990544442
286	0.1989344391
287	0.1988122426
288	0.1987004214
289	0.198593742
290	0.1984913843
291	0.1983650293
292	0.1982333119
293	0.1981228073
294	0.1979998534
295	0.1978738392
296	0.1977578721
297	0.1976705438
298	0.1975684158
299	0.1974678593
300	0.1973646716
301	0.197257468
302	0.1971545238
303	0.1970428264
304	0.1968921178
305	0.1967702247
306	0.1966680829
307	0.1965793071
308	0.1964738693
309	0.1963636439
310	0.1962485421
311	0.1961270268
312	0.1960205538
313	0.1959316784
314	0.1958437889
315	0.1957449603
316	0.1956443289
317	0.1955470439
318	0.1954386608
319	0.1953397456
320	0.195236321
321	0.1951318778
322	0.1950337811
323	0.1949184006
324	0.1948198905
325	0.1947060465
326	0.1945993114
327	0.1944896629
328	0.1943856869
329	0.1942846759
330	0.1941830149
331	0.1940922382
332	0.1939786921
333	0.1938696539
334	0.1937656874
335	0.1936669993
336	0.1935608667
337	0.1934733693
338	0.1933784903
339	0.1932960516
340	0.1932035248
341	0.1931065151
342	0.1930073436
343	0.192903888
344	0.1928120818
345	0.1927117605
346	0.1926248088
347	0.1925116919
348	0.1924061124
349	0.1923251583
350	0.1922482219
351	0.1921473033
352	0.1920451068
353	0.1919587437
354	0.1918736497
355	0.19175453
356	0.1916589724
357	0.1915623305
358	0.1914611825
359	0.1913815343
360	0.1912870968
361	0.1911991157
362	0.1911118623
363	0.1910124997
364	0.1909011276
365	0.1908103733
366	0.1907136989
367	0.1906436687
368	0.1905419155
369	0.1904469314
370	0.1903412172
371	0.1902479744
372	0.1901520393
373	0.19006181
374	0.1899797828
375	0.1898772752
376	0.1897736605
377	0.1896787594
378	0.1895813574
379	0.1894738501
380	0.1893654867
381	0.1892748569
382	0.1891839361
383	0.1890907449
384	0.1889979288
385	0.1889070754
386	0.1888212399
387	0.1887202479
388	0.1886324862
389	0.1885455383
390	0.1884583694
391	0.1883737056
392	0.1882865755
393	0.1881954947
394	0.1881017994
395	0.1880165082
396	0.1879465764
397	0.1878651634
398	0.1877840793
399	0.1877207653
400	0.1876187094
401	0.1875206723
402	0.1874256264
403	0.187330721
404	0.1872486855
405	0.1871606594
406	0.1870670417
407	0.1869712215
408	0.1868745122
409	0.1867638363
410	0.1866785335
411	0.1865953075
412	0.1864973932
413	0.1864230018
414	0.1863397647
415	0.1862571627
416	0.1861756832
417	0.1860972816
418	0.186018084
419	0.1859308433
420	0.1858576026
421	0.1857755398
422	0.1856922785
423	0.185582878
424	0.1855033071
425	0.1854075079
426	0.1853192639
427	0.1852333681
428	0.185157439
429	0.1850797029
430	0.1850016445
431	0.1849297482
432	0.1848380336
433	0.1847641649
434	0.1846704501
435	0.1845854687
436	0.1845049892
437	0.1844258137
438	0.1843447331
439	0.1842666257
440	0.1841893095
441	0.1840995928
442	0.1840237856
443	0.183937416
444	0.1838327894
445	0.1837432897
446	0.183657619
447	0.1835636963
448	0.1834779393
449	0.1833971988
450	0.1833328563
451	0.1832376933
452	0.1831506373
453	0.1830599862
454	0.1829698739
455	0.1828811151
456	0.1828032214
457	0.1827191486
458	0.1826306767
459	0.1825367998
460	0.1824630281
461	0.1823855187
462	0.1823003926
463	0.1822223413
464	0.1821203078
465	0.1820365091
466	0.1819469904
467	0.1818686618
468	0.1817903189
469	0.1817110835
470	0.1816204043
471	0.1815586349
472	0.1814764972
473	0.1813909994
474	0.1813211324
475	0.1812355123
476	0.1811807083
477	0.1810946962
478	0.1810141938
479	0.1809227958
480	0.1808396441
481	0.1807569459
482	0.1806883994
